,n_agents,Run,Buckets,issues,l_steps,p,CI2,d,o
0,25,3,3,3,1500,0.2,True,0.55,0.1
130,675,3,3,3,1500,0.2,True,0.55,0.1
131,675,3,3,3,1500,0.2,True,0.55,0.1
132,650,3,4,3,1500,0.2,True,0.55,0.1
133,675,3,2,3,1500,0.2,True,0.55,0.1
134,675,3,4,3,1500,0.2,True,0.55,0.1
135,700,3,2,3,1500,0.2,True,0.55,0.1
136,700,3,2,3,1500,0.2,True,0.55,0.1
137,700,3,3,3,1500,0.2,True,0.55,0.1
138,700,3,2,3,1500,0.2,True,0.55,0.1
139,725,3,2,3,1500,0.2,True,0.55,0.1
140,700,3,3,3,1500,0.2,True,0.55,0.1
141,725,3,3,3,1500,0.2,True,0.55,0.1
142,725,3,2,3,1500,0.2,True,0.55,0.1
143,725,3,2,3,1500,0.2,True,0.55,0.1
144,725,3,2,3,1500,0.2,True,0.55,0.1
145,750,3,3,3,1500,0.2,True,0.55,0.1
146,750,3,3,3,1500,0.2,True,0.55,0.1
147,750,3,2,3,1500,0.2,True,0.55,0.1
148,750,3,3,3,1500,0.2,True,0.55,0.1
149,750,3,3,3,1500,0.2,True,0.55,0.1
150,775,3,2,3,1500,0.2,True,0.55,0.1
129,675,3,2,3,1500,0.2,True,0.55,0.1
128,650,3,3,3,1500,0.2,True,0.55,0.1
127,650,3,2,3,1500,0.2,True,0.55,0.1
126,650,3,3,3,1500,0.2,True,0.55,0.1
104,525,3,3,3,1500,0.2,True,0.55,0.1
105,550,3,3,3,1500,0.2,True,0.55,0.1
106,550,3,3,3,1500,0.2,True,0.55,0.1
107,550,3,2,3,1500,0.2,True,0.55,0.1
108,550,3,3,3,1500,0.2,True,0.55,0.1
109,550,3,5,3,1500,0.2,True,0.55,0.1
110,575,3,3,3,1500,0.2,True,0.55,0.1
111,575,3,2,3,1500,0.2,True,0.55,0.1
112,575,3,3,3,1500,0.2,True,0.55,0.1
113,575,3,2,3,1500,0.2,True,0.55,0.1
151,775,3,2,3,1500,0.2,True,0.55,0.1
114,575,3,3,3,1500,0.2,True,0.55,0.1
116,600,3,3,3,1500,0.2,True,0.55,0.1
117,600,3,3,3,1500,0.2,True,0.55,0.1
118,600,3,5,3,1500,0.2,True,0.55,0.1
119,600,3,2,3,1500,0.2,True,0.55,0.1
120,625,3,3,3,1500,0.2,True,0.55,0.1
121,625,3,2,3,1500,0.2,True,0.55,0.1
122,625,3,2,3,1500,0.2,True,0.55,0.1
123,625,3,3,3,1500,0.2,True,0.55,0.1
124,625,3,3,3,1500,0.2,True,0.55,0.1
125,650,3,2,3,1500,0.2,True,0.55,0.1
115,600,3,2,3,1500,0.2,True,0.55,0.1
152,775,3,3,3,1500,0.2,True,0.55,0.1
153,775,3,2,3,1500,0.2,True,0.55,0.1
154,775,3,3,3,1500,0.2,True,0.55,0.1
181,925,3,2,3,1500,0.2,True,0.55,0.1
182,925,3,3,3,1500,0.2,True,0.55,0.1
183,925,3,3,3,1500,0.2,True,0.55,0.1
184,925,3,3,3,1500,0.2,True,0.55,0.1
185,950,3,4,3,1500,0.2,True,0.55,0.1
186,950,3,3,3,1500,0.2,True,0.55,0.1
187,950,3,4,3,1500,0.2,True,0.55,0.1
188,950,3,3,3,1500,0.2,True,0.55,0.1
189,950,3,3,3,1500,0.2,True,0.55,0.1
190,975,3,3,3,1500,0.2,True,0.55,0.1
180,925,3,3,3,1500,0.2,True,0.55,0.1
191,975,3,3,3,1500,0.2,True,0.55,0.1
193,1000,3,3,3,1500,0.2,True,0.55,0.1
194,975,3,3,3,1500,0.2,True,0.55,0.1
195,975,3,5,3,1500,0.2,True,0.55,0.1
196,1000,3,3,3,1500,0.2,True,0.55,0.1
197,1000,3,3,3,1500,0.2,True,0.55,0.1
198,1000,3,2,3,1500,0.2,True,0.55,0.1
199,1000,3,2,3,1500,0.2,True,0.55,0.1
200,1025,3,4,3,1500,0.2,True,0.55,0.1
201,1025,3,3,3,1500,0.2,True,0.55,0.1
202,1025,3,3,3,1500,0.2,True,0.55,0.1
192,975,3,2,3,1500,0.2,True,0.55,0.1
103,525,3,2,3,1500,0.2,True,0.55,0.1
179,900,3,3,3,1500,0.2,True,0.55,0.1
177,875,3,3,3,1500,0.2,True,0.55,0.1
155,800,3,3,3,1500,0.2,True,0.55,0.1
156,800,3,3,3,1500,0.2,True,0.55,0.1
157,800,3,3,3,1500,0.2,True,0.55,0.1
158,800,3,2,3,1500,0.2,True,0.55,0.1
159,825,3,3,3,1500,0.2,True,0.55,0.1
160,800,3,3,3,1500,0.2,True,0.55,0.1
161,825,3,2,3,1500,0.2,True,0.55,0.1
162,825,3,3,3,1500,0.2,True,0.55,0.1
163,825,3,2,3,1500,0.2,True,0.55,0.1
164,825,3,3,3,1500,0.2,True,0.55,0.1
178,900,3,3,3,1500,0.2,True,0.55,0.1
165,850,3,4,3,1500,0.2,True,0.55,0.1
167,850,3,2,3,1500,0.2,True,0.55,0.1
168,850,3,4,3,1500,0.2,True,0.55,0.1
169,875,3,2,3,1500,0.2,True,0.55,0.1
170,850,3,3,3,1500,0.2,True,0.55,0.1
171,875,3,4,3,1500,0.2,True,0.55,0.1
172,875,3,2,3,1500,0.2,True,0.55,0.1
173,900,3,3,3,1500,0.2,True,0.55,0.1
174,875,3,3,3,1500,0.2,True,0.55,0.1
175,900,3,2,3,1500,0.2,True,0.55,0.1
176,900,3,2,3,1500,0.2,True,0.55,0.1
166,850,3,3,3,1500,0.2,True,0.55,0.1
203,1025,3,2,3,1500,0.2,True,0.55,0.1
102,525,3,3,3,1500,0.2,True,0.55,0.1
100,525,3,3,3,1500,0.2,True,0.55,0.1
27,150,3,2,3,1500,0.2,True,0.55,0.1
28,150,3,2,3,1500,0.2,True,0.55,0.1
29,150,3,3,3,1500,0.2,True,0.55,0.1
30,175,3,2,3,1500,0.2,True,0.55,0.1
31,175,3,2,3,1500,0.2,True,0.55,0.1
32,175,3,3,3,1500,0.2,True,0.55,0.1
33,175,3,2,3,1500,0.2,True,0.55,0.1
34,175,3,3,3,1500,0.2,True,0.55,0.1
35,200,3,2,3,1500,0.2,True,0.55,0.1
36,200,3,2,3,1500,0.2,True,0.55,0.1
37,200,3,3,3,1500,0.2,True,0.55,0.1
38,200,3,3,3,1500,0.2,True,0.55,0.1
39,200,3,2,3,1500,0.2,True,0.55,0.1
40,225,3,2,3,1500,0.2,True,0.55,0.1
41,225,3,2,3,1500,0.2,True,0.55,0.1
42,225,3,2,3,1500,0.2,True,0.55,0.1
43,225,3,2,3,1500,0.2,True,0.55,0.1
44,250,3,2,3,1500,0.2,True,0.55,0.1
